wheelbase,carwidth,horsepower,mpg,price
88.6,64.1,111,21,13495
88.6,64.1,111,21,16500
94.5,65.5,154,19,16500
99.8,66.2,102,24,13950
99.4,66.4,115,18,17450
99.8,66.3,110,19,15250
105.8,71.4,110,19,17710
105.8,71.4,110,19,18920
105.8,71.4,140,17,23875
99.5,67.9,160,16,17859.167
101.2,64.8,101,23,16430
101.2,64.8,101,23,16925
101.2,64.8,121,21,20970
101.2,64.8,121,21,21105
103.5,66.9,121,20,24565
103.5,66.9,182,16,30760
103.5,67.9,182,16,41315
110,70.9,182,15,36880
88.4,60.3,48,47,5151
94.5,63.6,70,38,6295
94.5,63.6,70,38,6575
93.7,63.8,68,37,5572
93.7,63.8,68,31,6377
93.7,63.8,102,24,7957
93.7,63.8,68,31,6229
93.7,63.8,68,31,6692
93.7,63.8,68,31,7609
93.7,63.8,102,24,8558
103.3,64.6,88,24,8921
95.9,66.3,145,19,12964
86.6,63.9,58,49,6479
86.6,63.9,76,31,6855
93.7,64,60,38,5399
93.7,64,76,30,6529
93.7,64,76,30,7129
96.5,64,76,30,7295
96.5,63.9,76,30,7295
96.5,65.2,86,27,7895
96.5,65.2,86,27,9095
96.5,65.2,86,27,8845
96.5,62.5,86,27,10295
96.5,65.2,101,24,12945
96.5,66,100,25,10345
94.3,61.8,78,24,6785
94.5,63.6,70,38,8916.5
94.5,63.6,70,38,8916.5
96,65.2,90,24,11048
113,69.6,176,15,32250
113,69.6,176,15,35550
102,70.6,262,13,36000
93.1,64.2,68,30,5195
93.1,64.2,68,31,6095
93.1,64.2,68,31,6795
93.1,64.2,68,31,6695
93.1,64.2,68,31,7395
95.3,65.7,101,17,10945
95.3,65.7,101,17,11845
95.3,65.7,101,17,13645
95.3,65.7,135,16,15645
98.8,66.5,84,26,8845
98.8,66.5,84,26,8495
98.8,66.5,84,26,10595
98.8,66.5,84,26,10245
98.8,66.5,64,36,10795
98.8,66.5,84,26,11245
104.9,66.1,120,19,18280
104.9,66.1,72,31,18344
110,70.3,123,22,25552
110,70.3,123,22,28248
106.7,70.3,123,22,28176
115.6,71.7,123,22,31600
115.6,71.7,155,16,34184
96.6,70.5,155,16,35056
120.9,71.7,184,14,40960
112,72,184,14,45400
102.7,68,175,19,16503
93.7,64.4,68,37,5389
93.7,64.4,68,31,6189
93.7,64.4,68,31,6669
93,63.8,102,24,7689
96.3,65.4,116,23,9959
96.3,65.4,88,25,8499
95.9,66.3,145,19,12629
95.9,66.3,145,19,14869
95.9,66.3,145,19,14489
96.3,65.4,88,25,6989
96.3,65.4,88,25,8189
96.3,65.4,116,23,9279
96.3,65.4,116,23,9279
94.5,63.8,69,31,5499
94.5,63.8,55,45,7099
94.5,63.8,69,31,6649
94.5,63.8,69,31,6849
94.5,63.8,69,31,7349
94.5,63.8,69,31,7299
94.5,63.8,69,31,7799
94.5,63.8,69,31,7499
94.5,63.8,69,31,7999
95.1,63.8,69,31,8249
97.2,65.2,97,27,8949
97.2,65.2,97,27,9549
100.4,66.5,152,17,13499
100.4,66.5,152,17,14399
100.4,66.5,152,19,13499
91.3,67.9,160,19,17199
91.3,67.9,200,17,19699
99.2,67.9,160,19,18399
107.9,68.4,97,19,11900
107.9,68.4,95,28,13200
114.2,68.4,97,19,12440
114.2,68.4,95,25,13860
107.9,68.4,95,19,15580
107.9,68.4,95,28,16900
114.2,68.4,95,19,16695
114.2,68.4,95,25,17075
107.9,68.4,97,19,16630
107.9,68.4,95,28,17950
108,68.3,142,18,18150
93.7,63.8,68,37,5572
93.7,63.8,102,24,7957
93.7,63.8,68,31,6229
93.7,63.8,68,31,6692
93.7,63.8,68,31,7609
103.3,64.6,88,24,8921
95.9,66.3,145,19,12764
94.5,68.3,143,19,22018
89.5,65,207,17,32528
89.5,65,207,17,34028
89.5,65,207,17,37028
98.4,72.3,288,17,31400.5
96.1,66.5,90,23,9295
96.1,66.6,90,23,9895
99.1,66.5,110,21,11850
99.1,66.5,110,21,12170
99.1,66.5,110,21,15040
99.1,66.5,110,21,15510
99.1,66.5,160,19,18150
99.1,66.5,160,19,18620
93.7,63.4,69,31,5118
93.7,63.6,73,26,7053
93.3,63.8,73,26,7603
97.2,65.4,82,32,7126
97.2,65.4,82,28,7775
97.2,65.4,94,26,9960
97,65.4,82,24,9233
97,65.4,111,24,11259
97,65.4,82,28,7463
97,65.4,94,25,10198
96.9,65.4,82,23,8013
96.9,65.4,111,23,11694
95.7,63.6,62,35,5348
95.7,63.6,62,31,6338
95.7,63.6,62,31,6488
95.7,63.6,62,31,6918
95.7,63.6,62,27,7898
95.7,63.6,62,27,8778
95.7,64.4,70,30,6938
95.7,64.4,70,30,7198
95.7,64.4,56,34,7898
95.7,64.4,56,38,7788
95.7,64.4,70,38,7738
95.7,64.4,70,28,8358
95.7,64.4,70,28,9258
94.5,64,70,29,8058
94.5,64,70,29,8238
94.5,64,112,26,9298
94.5,64,112,26,9538
98.4,65.6,116,24,8449
98.4,65.6,116,24,9639
98.4,65.6,116,24,9989
98.4,65.6,116,24,11199
98.4,65.6,116,24,11549
98.4,65.6,116,24,17669
102.4,66.5,92,29,8948
102.4,66.5,73,30,10698
102.4,66.5,92,27,9988
102.4,66.5,92,27,10898
102.4,66.5,92,27,11248
102.9,67.7,161,20,16558
102.9,67.7,161,19,15998
104.5,66.5,156,20,15690
104.5,66.5,156,19,15750
97.3,65.5,52,37,7775
97.3,65.5,85,27,7975
97.3,65.5,52,37,7995
97.3,65.5,85,27,8195
97.3,65.5,85,27,8495
97.3,65.5,68,37,9495
97.3,65.5,100,26,9995
94.5,64.2,90,24,11595
94.5,64,90,24,9980
100.4,66.9,110,19,13295
100.4,66.9,68,33,13845
100.4,66.9,88,25,12290
104.3,67.2,114,23,12940
104.3,67.2,114,23,13415
104.3,67.2,114,24,15985
104.3,67.2,114,24,16515
104.3,67.2,162,17,18420
104.3,67.2,162,17,18950
109.1,68.9,114,23,16845
109.1,68.8,160,19,19045
109.1,68.9,134,18,21485
109.1,68.9,106,26,22470
109.1,68.9,114,19,22625
