car_ID,fueltype,aspiration,doornumber,drivewheel,enginelocation,enginetype,cylindernumber,fuelsystem,price
1,gas,std,two,rwd,front,dohc,four,mpfi,13495
2,gas,std,two,rwd,front,dohc,four,mpfi,16500
3,gas,std,two,rwd,front,ohcv,six,mpfi,16500
4,gas,std,four,fwd,front,ohc,four,mpfi,13950
5,gas,std,four,4wd,front,ohc,five,mpfi,17450
6,gas,std,two,fwd,front,ohc,five,mpfi,15250
7,gas,std,four,fwd,front,ohc,five,mpfi,17710
8,gas,std,four,fwd,front,ohc,five,mpfi,18920
9,gas,turbo,four,fwd,front,ohc,five,mpfi,23875
10,gas,turbo,two,4wd,front,ohc,five,mpfi,17859.167
11,gas,std,two,rwd,front,ohc,four,mpfi,16430
12,gas,std,four,rwd,front,ohc,four,mpfi,16925
13,gas,std,two,rwd,front,ohc,six,mpfi,20970
14,gas,std,four,rwd,front,ohc,six,mpfi,21105
15,gas,std,four,rwd,front,ohc,six,mpfi,24565
16,gas,std,four,rwd,front,ohc,six,mpfi,30760
17,gas,std,two,rwd,front,ohc,six,mpfi,41315
18,gas,std,four,rwd,front,ohc,six,mpfi,36880
19,gas,std,two,fwd,front,l,three,2bbl,5151
20,gas,std,two,fwd,front,ohc,four,2bbl,6295
21,gas,std,four,fwd,front,ohc,four,2bbl,6575
22,gas,std,two,fwd,front,ohc,four,2bbl,5572
23,gas,std,two,fwd,front,ohc,four,2bbl,6377
24,gas,turbo,two,fwd,front,ohc,four,mpfi,7957
25,gas,std,four,fwd,front,ohc,four,2bbl,6229
26,gas,std,four,fwd,front,ohc,four,2bbl,6692
27,gas,std,four,fwd,front,ohc,four,2bbl,7609
28,gas,turbo,two,fwd,front,ohc,four,mpfi,8558
29,gas,std,four,fwd,front,ohc,four,2bbl,8921
30,gas,turbo,two,fwd,front,ohc,four,mfi,12964
31,gas,std,two,fwd,front,ohc,four,1bbl,6479
32,gas,std,two,fwd,front,ohc,four,1bbl,6855
33,gas,std,two,fwd,front,ohc,four,1bbl,5399
34,gas,std,two,fwd,front,ohc,four,1bbl,6529
35,gas,std,two,fwd,front,ohc,four,1bbl,7129
36,gas,std,four,fwd,front,ohc,four,1bbl,7295
37,gas,std,four,fwd,front,ohc,four,1bbl,7295
38,gas,std,two,fwd,front,ohc,four,1bbl,7895
39,gas,std,two,fwd,front,ohc,four,1bbl,9095
40,gas,std,four,fwd,front,ohc,four,1bbl,8845
41,gas,std,four,fwd,front,ohc,four,1bbl,10295
42,gas,std,four,fwd,front,ohc,four,mpfi,12945
43,gas,std,two,fwd,front,ohc,four,2bbl,10345
44,gas,std,four,rwd,front,ohc,four,2bbl,6785
45,gas,std,two,fwd,front,ohc,four,2bbl,8916.5
46,gas,std,four,fwd,front,ohc,four,2bbl,8916.5
47,gas,std,two,rwd,front,ohc,four,spfi,11048
48,gas,std,four,rwd,front,dohc,six,mpfi,32250
49,gas,std,four,rwd,front,dohc,six,mpfi,35550
50,gas,std,two,rwd,front,ohcv,twelve,mpfi,36000
51,gas,std,two,fwd,front,ohc,four,2bbl,5195
52,gas,std,two,fwd,front,ohc,four,2bbl,6095
53,gas,std,two,fwd,front,ohc,four,2bbl,6795
54,gas,std,four,fwd,front,ohc,four,2bbl,6695
55,gas,std,four,fwd,front,ohc,four,2bbl,7395
56,gas,std,two,rwd,front,rotor,two,4bbl,10945
