country,year,sales
America,2018-12-31,1782
America,2019-12-31,1758
America,2020-12-31,1495
Japan,2018-12-31,526
Japan,2019-12-31,519
Japan,2020-12-31,459
Germany,2018-12-31,376
Germany,2019-12-31,396
Germany,2020-12-31,322
India,2018-12-31,440
India,2019-12-31,382
India,2020-12-31,294
France,2018-12-31,268
France,2019-12-31,274
France,2020-12-31,210
UK,2018-12-31,273
UK,2019-12-31,268
UK,2020-12-31,193
South Korea,2018-12-31,181
South Korea,2019-12-31,178
South Korea,2020-12-31,187
Russia,2018-12-31,180
Russia,2019-12-31,176
Russia,2020-12-31,160
Canada,2018-12-31,204
Canada,2019-12-31,197
Canada,2020-12-31,159
Italy,2018-12-31,208
Italy,2019-12-31,209
Italy,2020-12-31,153
Spain,2018-12-31,156
Spain,2019-12-31,149
Spain,2020-12-31,102
