state,income
DC,128403.7066
MA,108681.4566
CT,107251.1467
NJ,105176.3061
CA,96605.3235
WY,86912.28193
MD,86439.01602
FL,84688.25244
NV,83332.87139
NY,81726.44186
NH,81292.93183
WA,80271.91907
DE,76796.27402
RI,76221.27623
CO,74929.18747
ND,72168.41864
IL,69961.32759
VA,69687.57297
AK,69427.98497
UT,69311.03486
TX,69022.708
MN,68062.08091
HI,68048.30362
AZ,67096.21458
PA,65455.65076
OR,64065.21116
WI,63606.06443
NE,61814.31459
IA,61510.2223
MI,61501.33362
SD,61177.09413
VT,60788.9052
OH,59626.1777
KS,59323.1918
NC,58841.87156
ID,58371.91839
GA,58087.89552
IN,57710.51264
MT,57145.40054
LA,57089.86893
OK,57019.16592
TN,56786.95841
ME,56649.22731
SC,56624.52245
MO,53819.4888
AL,52856.62578
NM,50747.28472
KY,49462.58864
AR,49248.43181
WV,49120.44449
MS,46361.31297
