state,avg_income
AK,73445.84323
AK,79615.3446
AK,84374.78921
AK,61570.43941
AK,60499.43416
AK,42041.66667
AK,41770.84746
AK,81524.5804
AK,58087.2116
AK,97081.32855
AK,155935.0716
AK,83134.36725
AK,69427.55299
AK,76118.75
AK,58462.96296
AK,61618.77023
AK,84334.13462
AK,65076.92308
AK,66618.18182
AK,51961.36364
AK,94125.76351
AK,48691.30435
AK,61596.9697
AK,70630.09009
AK,70375
AK,70488.06202
AK,64086.08
AK,70800
AK,60742.62295
AK,75391.04704
AK,73455.90969
AK,64704.86726
AK,79739.84375
AK,72597.54601
AK,57392.75362
AK,58205.20833
AK,85171
AK,59090.90909
AK,58197.2873
AK,44655.81395
AK,39828.91566
AK,69635.50885
AK,77753.57143
AK,83079.63801
AK,68064.44444
AK,66305.43478
AK,75793.33333
AK,62771.875
AK,52762.5
AK,76521.86732
AK,80381.41593
AK,69940.94488
AK,67335.88235
AK,70781.65548
AK,69699.20382
AK,64473.32474
AL,61620.91745
AL,58128.65385
AL,40926.33229
AL,52750.80645
AL,61695.51867
AL,52348.59694
AL,49988.125
AL,53402.63523
AL,49962.92135
AL,28403.68715
AL,58743.16618
AL,49501.97628
AL,44918.24324
AL,57230.65693
AL,41089.31298
AL,89075.4386
AL,57311.42132
AL,48769.64286
AL,88507.48663
AL,44936.01286
AL,50124.41652
AL,62284.91379
AL,53883.43949
AL,66096.49123
AL,73270.90909
AL,74426.96629
AL,56088.58561
AL,58688.93058
AL,55726.47754
AL,36530.64516
AL,59292.23602
AL,45713.11475
AL,35662.31527
AL,51800.26042
AL,66141.44737
AL,40127.3743
AL,38845.74468
AL,44716.98113
AL,60101.06383
AL,55485.9944
AL,75661.42684
AL,48987.17949
AL,47892.35294
AL,43113.25301
AL,35394.59459
AL,72163.90977
AL,60978.19905
AL,54348.4058
AL,49214.47368
AL,45500
AL,65983.26475
AL,68593.98734
AL,47565.04673
AL,66707.35294
AL,66440.95941
AL,49397.72727
AL,57172.2135
AL,54885.03401
AL,84924.09129
AL,46093.94619
AL,53563.52201
AL,52184.36782
AL,65449.77064
AL,45804.8
AL,43672.61146
AL,51035.71429
AL,58060.49383
AL,51110.60606
AL,58530.64516
AL,69816.88312
AL,76815.02146
AL,44792.59259
AL,44322.57143
AL,52315.64626
AL,42717.48179
AL,55673.8806
AL,44723.68421
AL,91855.85997
AL,59440.19139
AL,45818.18182
AL,51663.44828
AL,53750.3856
AL,60232.17391
AL,48203.44828
AL,47440.66986
AL,73700.97087
AL,56971.05263
AL,132191.6667
AL,27593.76855
AL,65072.20026
AL,32245.9375
AL,26956.91318
AL,29120.72727
AL,117103.1746
AL,66547.22639
AL,32317.67068
AL,38912.13483
AL,248519.4134
AL,38442.62899
AL,34706.98267
AL,94917.10933
AL,35761.22449
AL,26203.7037
AL,28820
AL,102687.4074
AL,372351.4388
AL,31368.5446
AL,105514.1677
AL,30323.00242
AL,83706.38298
AL,26763.06818
AL,43474.08207
AL,144725.7044
AL,147386.1868
AL,103046.8825
AL,35741.12337
AL,42113.68159
AL,50094.98111
AL,145137.1593
AL,45963.63636
AL,36848.88889
AL,31744.92754
AL,53058.70968
AL,49578.57143
AL,41986.99187
AL,55724.84472
AL,50601.68776
AL,46844.50549
AL,50239.13043
AL,38487.5
AL,30080.95238
AL,48398.50746
AL,34647.8022
AL,53487.17949
AL,26027.77778
AL,53678.02691
AL,41975
AL,43945.16129
AL,61722.48276
AL,51492.70833
AL,82701.41643
AL,44128.739
AL,58211.76471
AL,41113.84615
AL,59149.45055
AL,45125.13812
AL,51628.52853
AL,65097.90875
AL,48414.44444
AL,65008.33333
AL,46232.55814
AL,43454.28571
AL,44640.90909
AL,48821.33333
AL,38000
AL,41400.73529
AL,47684.86486
AL,74510.81081
AL,49683.33333
AL,49830.95238
AL,45672.8022
AL,47309.74026
AL,42308.86076
AL,45806.42398
AL,44448.85496
AL,45256.25
AL,58975
AL,48625
AL,44016.21622
AL,49167.79661
AL,44566.30435
AL,45473.72881
AL,47758.21918
AL,41589.94709
AL,54475.92593
AL,45666.66667
AL,44436.53846
AL,51787.09677
AL,46358.08383
AL,44901.49254
AL,52219.44444
AL,48867.55556
AL,68506.51717
AL,49759.45946
AL,49809.97096
AL,83334.25358
AL,47524.91803
AL,47897.85714
AL,38878.66667
AL,53466.50485
AL,53213.56383
AL,50595.83333
AL,45861.5942
AL,45785.89641
AL,55868.61827
AL,78801.53509
AL,60754.6716
AL,44000
AL,67568.96552
AL,47377.65363
AL,52679.54545
AL,51094.90446
AL,50431.55963
AL,48202.43902
AL,58807.78098
AL,45393.19728
AL,43602
AL,40716.04278
AL,63551.00756
AL,54898.4326
AL,54391.30435
AL,50944.58333
AL,53540.76246
AL,53886.17684
AL,43353.52113
AL,53108.18182
AL,46579.36508
AL,109942.2078
AL,42886.17021
AL,42745.71429
AL,59783.46774
AL,89182.7381
AL,70992.63245
AL,53921.55887
AL,48876.54321
AL,56588.0531
AL,58544.82759
AL,90189.37568
AL,77452.89575
AL,95867.76438
AL,71238.73874
AL,53265.40284
AL,66805.23364
AL,114114.6341
AL,38504.16667
AL,43273.7931
AL,48782.31441
AL,75929.25659
AL,45723.18841
AL,44491.66667
AL,56104.92091
AL,40070.58824
AL,44725
AL,125956.8702
AL,95874.28073
AL,80748.14275
AL,27888.7468
AL,75394.17555
AL,96425.5814
AL,35191.13924
AL,64529.18623
AL,31082.94849
AL,84773.04348
AL,62905.7377
AL,41154.88827
AL,40706.66667
AL,51935.68773
AL,54992.34234
AL,67589.77556
AL,41965.69767
AL,42411.37725
AL,44331.36531
AL,53004.27632
AL,40116.59389
AL,45795.7265
AL,43392.8115
AL,48425.86207
AL,47848.9011
AL,51657.55968
AL,37876.47059
AL,42425.9542
AL,38209.67742
AL,45051.14504
AL,47861.74603
AL,53396.41256
AL,45290.44944
AL,48142
AL,43228
AL,40543.66197
AL,48685.71429
AL,68105.9322
AL,53294.55446
AL,40628.30189
AL,41085.16484
AL,45447.2973
AL,47061.53846
AL,53032.05128
AL,48731.69231
AL,47898.97959
AL,41675.36232
AL,51465.89147
AL,48559.21053
AL,45455.22388
AL,50242.59259
AL,50282.52427
AL,38831
AL,104147.3684
AL,39331.70732
AL,33648.97959
AL,43866.03774
AL,64415.79832
AL,61200.75188
AL,48884.84848
AL,74888.88889
AL,46694.53925
AL,42401.44928
AL,57930
AL,38135
AL,35820.58824
AL,40963.75839
AL,43170.96774
AL,45450.61728
AL,43709.09091
AL,45619.81308
AL,29627.27273
AL,32189.58333
AL,43230.35714
AL,46080
AL,58062.89308
AL,48262.96296
AL,39408.92857
AL,35132
AL,46547.98206
AL,47745.65217
AL,87884.21053
AL,34332
AL,53073.48485
AL,104270.9924
AL,62180.54945
AL,56656.96203
AL,49744.73684
AL,35487.87879
AL,44102.53165
AL,52054.62795
AL,51513.47709
AL,66947.11538
AL,54128.99824
AL,34386.95652
AL,29850.51546
AL,33326.19048
AL,48073.10345
AL,51513.19681
AL,78537.69231
AL,42956.42023
AL,34455.02392
AL,78761.43079
AL,31423.23944
AL,29215.31915
AL,50051.53707
AL,28243.91892
AL,72262.94326
AL,68736.36364
AL,51238.46154
AL,43249.4731
AL,75211.75166
AL,32020.19231
AL,53112.85714
AL,51532.35294
AL,41478.49224
AL,64369.87952
AL,53961.90476
AL,46181.7734
AL,85384.21053
AL,45758.33333
AL,46592.42424
AL,43953.37423
AL,43194.33962
AL,49663.63636
AL,51860
AL,50549.47507
AL,45011.55556
AL,45266.08696
AL,43982.97872
AL,50653.25203
AL,44245.10638
AL,54686.66667
AL,39878.11765
AL,45713.63636
AL,46963.9485
AL,61902.63158
AL,46925.4717
AL,47722.14765
AL,48246.81672
AL,61037.17236
AL,88227.75393
AL,48334.43983
AL,49401.88679
AL,51240.32258
AL,44208.33333
AL,53604
AL,40323.52941
AL,51720.83333
AL,52518.18182
AL,41482.35294
AL,44702.5641
AL,43934.31085
AL,45728.13559
AL,59929.69974
AL,44688.94472
AL,37946.55172
AL,46869.48357
AL,59395.51821
AL,48087.93103
AL,54025.24272
AL,57313.42282
AL,60038.60465
AL,45703.57143
AL,48139.30858
AL,53388.57143
AL,45331.42857
AL,35352.38095
AL,52075.5102
AL,44903.48432
AL,42886.2069
AL,40504.36364
AL,54498.86105
AL,62121.28852
AL,31963.63636
AL,46964.22182
AL,38314.28571
AL,28510.52632
AL,42338.88889
AL,47356.46259
AL,41751.75439
AL,36845.45455
AL,41810.96774
AL,53165.38462
AL,50226.43678
AL,46320
AL,52605.97015
AL,45105.42005
AL,35458.33333
AL,48385.45455
AL,44894.3662
AL,44395.32164
AL,50097.05882
AL,31080
AL,34694.28571
AL,39505.88235
AL,42786.79868
AL,55629.03226
AL,51207.58706
AL,37508
AL,39327.02703
AL,64981.18812
AL,54232.1608
AL,47463.97059
AL,48982.82828
AL,41948.78049
AL,54818.51852
AL,76534.62025
AL,102710.8333
AL,83933.73494
AL,50230.43478
AL,62428.90855
AL,95727.43243
AL,48103.57143
AL,36173.33333
AL,52678.57143
AL,34500
AL,52726.94301
AL,64725.53802
AL,42828.63636
AL,52088.35227
AL,56702.08333
